Bundesland;Regionalbereich;Bf. Nr.;Station;Bf DS 100 Abk.;Kategorie Vst;Straße;PLZ;Ort;Aufgabenträger;Verkehrsverbünde;Fernverkehr;Nahverkehr
Sachsen;Erzgebirgsbahn (EGB);4758;Olbernhau-Grünthal;DOGT;6;Jagdweg;96526;Olbernhau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);4833;Otting;MOTG;6;Holzhauser Straße;833296;Waging a.See;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);4917;Pfarrkirchen;MPKI;6;;;Pfarrkirchen;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8226;Pockau Strobelmühle;DSTM;6;;;;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);4972;Pockau-Lengefeld;DPF;6;;;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);4973;Pocking;MPKG;6;;;Pocking;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);5109;Ramerberg;MRMB;6;;;Ramerberg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5124;Raschau (b Schwarzenberg);DRAS;6;;;Raschau-Markersbach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5195;Reicholzheim;TRL;6;;;Wertheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5196;Reifland-Wünschendorf;DRF;6;;;Pockau-Lengefeld;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5290;Rippberg;RRB;6;;;Walldürn;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;Südostbayernbahn (SOB);5318;Rohrbach (Oberbay);MROH;6;;;Erharting;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);8259;Rosenheim Hochschule;MROS;6;;;Rosenheim;Bayrische Eisenbahn Gesellschaft;;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5376;Rot am See;TRS;6;;;Rot am See;Nahverkehrsgesellschaft Baden-Württemberg;KreisVerkehr Schwäbisch Hall;nein;ja
Bayern;Südostbayernbahn (SOB);5396;Rott (Inn);MRT;6;;;Rott a.Inn;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);5426;Ruhpolding;MRPD;6;;;Ruhpolding;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);5427;Ruhstorf;MRUS;6;;;Ruhstorf a.d.Rott;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5515;Satteldorf;TSAT;6;;;Satteldorf;Nahverkehrsgesellschaft Baden-Württemberg;KreisVerkehr Schwäbisch Hall;nein;ja
Bayern;Südostbayernbahn (SOB);5534;Schalchen;MSCA;6;;;Tacherting;Bayrische Eisenbahn Gesellschaft;;nein;ja
Nordrhein-Westfalen;Kurhessenbahn (KHB);5539;Schameder;ESCA;6;Steimelweg;57339;Erndtebrück;Zweckverband Nahverkehr Westfalen-Lippe;Zweckverband / Verkehrsgemeinschaft Westfalen-Süd;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5543;Scharfenstein;DSS;6;;;Drebach;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);5551;Schechen;MSC;6;;;Schechen;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5553;Scheibenberg;DSG;6;;;Scheibenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5589;Schlettau (Erzgeb);DSCL;6;;;Schlettau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);5625;Schneeberg im Odenwald;NSCB;6;;;Schneeberg;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);5689;Schrozberg;TSZG;6;;;Schrozberg;Nahverkehrsgesellschaft Baden-Württemberg;KreisVerkehr Schwäbisch Hall;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);5720;Schwarzburg;USCG;6;Bahnhof 1;7427;Schwarzburg;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelthüringen ;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5728;Schwarzenberg (Erzgeb);DSC;6;;;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5729;Schwarzenberg (Erzgeb) Hp;DSCH;6;;;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5730;Schwarzenberg-Neuwelt;DSCN;6;;;Schwarzenberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5801;Sehma;DSEH;6;;;Sehmatal;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);5803;Seiboldsdorf;MSBD;6;;;Traunstein;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);5845;Siegsdorf;MSGD;6;Bahnhofstraße;83313;Siegsdorf;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);5858;Silberstraße;DSBS;6;;;Wilkau-Haßlau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);5859;Simbach (Inn);MSBI;5;;;Simbach a.Inn;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Rottal-Inn;nein;ja
Hessen;Kurhessenbahn (KHB);5862;Simtshausen;FSMH;6;;;Münchhausen;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Thüringen;Oberweißbacher Berg- und Schwarzatalbahn (OBS);5874;Sitzendorf-Unterweißbach;USDF;6;Bahnhofstraße 1;7429;Unterweißbach;Nahverkehrsservicegesellschaft Thüringen;Verkehrsverbund Mittelthüringen ;nein;ja
Bayern;Südostbayernbahn (SOB);5914;Soyen;MSY;6;;;Soyen;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Westfrankenbahn (WFB);5959;Stadtprozelten;NSPO;6;Hauptstraße;97909;Stadtprozelten;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Südostbayernbahn (SOB);5978;Stein a d Traun;MSTN;6;;;Traunreut;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);6000;Steinhöring;MSHG;6;;;Steinhöring;Bayrische Eisenbahn Gesellschaft;Münchener Verkehrs- und Tarifverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6022;Sterzhausen;FSZH;6;;;Lahntal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Bayern;Westfrankenbahn (WFB);6110;Sulzbach am Main;NSUZ;6;;;Sulzbach a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Bayern;Südostbayernbahn (SOB);6109;Sulzbach (Inn);MSBH;6;;;Ruhstorf a.d.Rott;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft Landkreis Passau;nein;ja
Bayern;Südostbayernbahn (SOB);6133;Tacherting;MTCH;6;;;Tacherting;Bayrische Eisenbahn Gesellschaft;;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);6152;Tauberbischofsheim;TTB;6;;;Tauberbischofsheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6187;Thalheim (Erzgeb);DTAL;6;;;Thalheim;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6196;Thermalbad Wiesenbad;DWIE;6;;;Thermalbad Wiesenbad;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);6222;Tittmoning-Wiesmühl;MWSL;6;;;Tittmoning;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);6223;Töging (Inn);MTG;6;;;Töging a.Inn;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);6239;Traundorf;MTRD;6;;;Siegsdorf;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);8127;Traunreut;MTRT;6;;;Traunreut;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);6277;Trostberg;MTSB;6;;;Trostberg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Bayern;Südostbayernbahn (SOB);6285;Tulling;MTUL;6;;;Steinhöring;Bayrische Eisenbahn Gesellschaft;Münchener Verkehrs- und Tarifverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6289;Tüßling;MTLG;5;;;Tüßling;Bayrische Eisenbahn Gesellschaft;;nein;ja
Hessen;Kurhessenbahn (KHB);7511;Twiste;FTW;6;;;Twistetal;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6332;Ungedanken;FUNG;6;;;Fritzlar;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6343;Unteraschau;MUA;6;;;Waging a.See;Bayrische Eisenbahn Gesellschaft;;nein;ja
Hessen;Kurhessenbahn (KHB);6381;Usseln;FUS;6;;;Willingen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6420;Vilsbiburg;MVSB;6;;;Vilsbiburg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Hessen;Kurhessenbahn (KHB);7473;Vöhl Ederbringhausen;FEDN;6;;;Vöhl;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7486;Vöhl Herzhausen;FHZN;6;;;Vöhl;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7508;Vöhl Schmittlotheim;FSLM;6;;;Vöhl;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8308;Vöhl Thalitter;FTHA;6;;;Vöhl;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6446;Volkmarsen;FVA;6;;;Volkmarsen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6465;Waging;MWGN;6;;;Waging a.See;Bayrische Eisenbahn Gesellschaft;;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6488;Waldkirchen (Erzgeb);DWK;6;;;Wildenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);7870;Waldkraiburg-Kraiburg;MWKG;6;;;Waldkraiburg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);6505;Walldürn;RWDN;6;;;Walldürn;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);8269;Wallhausen (Württ);TWAL;6;;;Wallhausen;Nahverkehrsgesellschaft Baden-Württemberg;KreisVerkehr Schwäbisch Hall;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6524;Walthersdorf (Erzgeb);DWF;6;;;Crottendorf;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6543;Warmbad;DWAB;6;;;Wolkenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Südostbayernbahn (SOB);6559;Wasserburg (Inn) Bahnhof;MWSB;5;;;Wasserburg a.Inn;Bayrische Eisenbahn Gesellschaft;Münchener Verkehrs- und Tarifverbund;nein;ja
Hessen;Kurhessenbahn (KHB);6583;Wega;FWGA;6;Ederstraße;34537;Bad Wildungen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6589;Weibhausen;MWBH;6;;;Wonneberg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);6605;Weikersheim;TWM;6;;;Weikersheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Bayern;Westfrankenbahn (WFB);6611;Weilbach in Unterfranken;NWE;6;;;Weilbach;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);6698;Wertheim;TWT;6;;;Wertheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Baden-Württemberg;Westfrankenbahn (WFB);6699;Wertheim-Bestenheid;TWTB;6;;;Wertheim;Nahverkehrsgesellschaft Baden-Württemberg;Verkehrsverbund Rhein-Neckar;nein;ja
Hessen;Kurhessenbahn (KHB);6727;Wetter (Hess-Nass);FWT;6;;;Wetter;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);7121;Wiesa (Erzgeb);DWIS;6;;;Thermalbad Wiesenbad;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6753;Wiesenburg (Sachs);DWSB;6;;;Wildenfels;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);6754;Wiesenfeld;FWIF;6;;;Burgwald;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Bayern;Südostbayernbahn (SOB);6760;Wiesmühl (Alz);MWSM;6;;;Engelsberg;Bayrische Eisenbahn Gesellschaft;;nein;ja
Hessen;Kurhessenbahn (KHB);6774;Wilhelmshütte (Lahn);FWUE;6;;;Dautphetal;Rhein-Main-Verkehrsverbund;Rhein-Main-Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6776;Wilischthal;DWL;6;;;Amtsberg;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6777;Wilkau-Haßlau;DWI;6;Am Markt;8112;Wilkau-Haßlau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);6778;Willingen;FWLN;6;;;Willingen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8232;Willingen-Stryck;FSY;6;;;Willingen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6841;Witzschdorf;DWIT;6;;;Gornau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Hessen;Kurhessenbahn (KHB);6857;Wolfhagen;FWFH;6;;;Wolfhagen;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);6869;Wolkenstein;DWO;6;;;Wolkenstein;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Bayern;Westfrankenbahn (WFB);6892;Wörth am Main;NWOE;6;;;Wörth a.Main;Bayrische Eisenbahn Gesellschaft;Verkehrsgemeinschaft am Bayerischen Untermain;nein;ja
Hessen;Kurhessenbahn (KHB);6997;Zennern;FZE;6;;;Wabern;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);7018;Zierenberg;FZB;6;;;Zierenberg;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Hessen;Kurhessenbahn (KHB);8012;Zierenberg-Rosental;FZBR;6;;;Zierenberg;Nordhessischer Verkehrsverbund;Nordhessischer Verkehrsverbund;nein;ja
Sachsen;Erzgebirgsbahn (EGB);7038;Zöblitz-Pobershau;DZB;6;;;Zöblitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);7055;Zschopau;DZP;6;;;Zschopau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);8227;Zschopau Ost;DZPO;6;;;Zschopau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);7071;Zwickau-Schedewitz;DZWS;6;Bahnstraße/Tonstraße;8056;Zwickau;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
Sachsen;Erzgebirgsbahn (EGB);7076;Zwönitz;DZI;6;;;Zwönitz;Verkehrsverbund Mittelsachsen;Verkehrsverbund Mittelsachsen;nein;ja
